Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2017-08-07 12:15:46.966729,4472.03030258,0,4401.45454501,0,3818.30302992,0,3834.27272689,0,4231.45454503,0,4472.03030258,0,4181.48484807,0,4289.66666624,0,5004.18181768,0,3992.93939354,0,4323.66666623,0,4250.51515109,0,4786.78787831,0,4423.09090865,0,42.0,42.0,?
2017-08-07 12:15:46.972992,4467.90909046,0,4156.24242383,0,3832.21212083,0,3818.81818144,0,4228.87878746,0,4439.06060562,0,4168.60606019,0,4646.6666662,0,4950.60606011,0,4102.15151474,0,4406.60606017,0,4245.36363594,0,4776.48484801,0,4489.5454541,0,42.0,42.0,?
2017-08-07 12:15:46.976031,4465.8484844,0,4156.24242383,0,3833.24242386,0,3818.81818144,0,4219.09090867,0,4424.12121168,0,4160.36363595,0,4640.48484802,0,4953.18181769,0,4091.33333292,0,4399.39393895,0,4231.45454503,0,4767.21212074,0,4481.30302985,0,42.0,42.0,?
2017-08-07 12:15:46.979407,4466.36363592,0,4157.27272686,0,3828.09090871,0,3816.75757538,0,4215.99999958,0,4431.33333289,0,4167.06060564,0,4647.69696923,0,4963.48484799,0,4093.9090905,0,4404.03030259,0,4233.51515109,0,4773.39393892,0,4478.21212076,0,42.0,42.0,?
2017-08-07 12:15:46.988511,4463.78787834,0,4157.27272686,0,3822.93939356,0,3815.72727235,0,4230.424242,0,4443.18181774,0,4170.15151473,0,4649.24242378,0,4956.27272678,0,4098.54545414,0,4407.6363632,0,4242.78787836,0,4779.06060558,0,4470.48484804,0,42.0,42.0,?
2017-08-07 12:15:46.993462,4463.78787834,0,4156.24242383,0,3823.45454507,0,3815.72727235,0,4237.1212117,0,4440.09090865,0,4162.93939352,0,4644.60606014,0,4951.63636314,0,4103.18181777,0,4398.36363592,0,4242.78787836,0,4772.8787874,0,4460.69696925,0,42.0,42.0,?
2017-08-07 12:15:46.996045,4469.45454501,0,4161.39393898,0,3823.45454507,0,3815.72727235,0,4225.78787837,0,4431.33333289,0,4156.75757534,0,4644.60606014,0,4968.63636314,0,4109.36363595,0,4389.60606017,0,4238.15151473,0,4768.24242377,0,4458.63636319,0,42.0,42.0,?
2017-08-07 12:15:46.999369,4474.09090864,0,4168.60606019,0,3823.45454507,0,3815.72727235,0,4221.66666624,0,4427.21212077,0,4157.78787837,0,4641.51515105,0,4974.30302981,0,4109.36363595,0,4391.15151471,0,4240.7272723,0,4771.33333286,0,4462.2424238,0,42.0,42.0,?
2017-08-07 12:15:47.002191,4469.96969652,0,4167.57575716,0,3826.54545416,0,3815.21212083,0,4229.39393897,0,4435.96969653,0,4164.99999958,0,4637.39393893,0,4961.42424193,0,4105.75757535,0,4396.81818138,0,4248.45454503,0,4776.99999952,0,4457.09090865,0,42.0,42.0,?
2017-08-07 12:15:47.005022,4461.72727228,0,4165.5151511,0,3828.09090871,0,3815.21212083,0,4241.24242382,0,4449.36363592,0,4173.24242383,0,4636.87878742,0,4962.45454496,0,4096.99999959,0,4397.84848441,0,4253.60606018,0,4777.51515104,0,4443.18181774,0,42.0,42.0,?
2017-08-07 12:15:47.008222,4459.66666622,0,4170.15151473,0,3827.57575719,0,3816.24242386,0,4247.424242,0,4451.42424198,0,4174.27272686,0,4636.87878742,0,4975.84848435,0,4088.75757535,0,4390.12121168,0,4249.99999958,0,4773.39393892,0,4435.96969653,0,42.0,42.0,?
2017-08-07 12:15:47.011071,4461.72727228,0,4172.21212079,0,3831.69696931,0,3817.27272689,0,4241.75757533,0,4445.75757531,0,4171.69696928,0,4638.93939348,0,4974.81818132,0,4086.18181777,0,4387.03030259,0,4239.69696927,0,4770.81818134,0,4434.9393935,0,42.0,42.0,?
2017-08-07 12:15:47.014291,4463.27272683,0,4171.18181776,0,3835.30302992,0,3818.30302992,0,4239.69696927,0,4445.2424238,0,4176.84848443,0,4640.48484802,0,4973.27272678,0,4083.09090868,0,4390.6363632,0,4240.21212079,0,4775.45454498,0,4434.42424198,0,42.0,42.0,?
2017-08-07 12:15:47.027105,4462.75757531,0,4174.27272686,0,3834.27272689,0,3818.81818144,0,4246.39393897,0,4450.90909046,0,4186.1212117,0,4642.03030257,0,4982.54545405,0,4083.09090868,0,4393.72727229,0,4254.1212117,0,4780.60606013,0,4429.78787834,0,42.0,42.0,?
2017-08-07 12:15:47.030434,4463.27272683,0,4174.78787837,0,3838.39393901,0,3818.81818144,0,4243.30302988,0,4450.90909046,0,4191.27272685,0,4644.60606014,0,4987.18181768,0,4086.18181777,0,4396.30302986,0,4261.33333291,0,4784.21212073,0,4429.78787834,0,42.0,42.0,?
2017-08-07 12:15:47.033482,4465.8484844,0,4172.72727231,0,3843.54545416,0,3820.8787875,0,4232.99999958,0,4442.15151471,0,4185.60606019,0,4639.96969651,0,4985.12121162,0,4083.6060602,0,4394.75757532,0,4252.57575715,0,4787.30302982,0,4431.84848441,0,42.0,42.0,?
2017-08-07 12:15:47.037913,4462.75757531,0,4178.39393898,0,3840.45454507,0,3820.8787875,0,4232.48484806,0,4440.60606016,0,4172.72727231,0,4625.03030257,0,4982.54545405,0,4071.75757535,0,4384.96969653,0,4241.75757533,0,4778.54545407,0,4421.03030259,0,42.0,42.0,?
2017-08-07 12:15:47.040873,4461.21212077,0,4185.60606019,0,3840.45454507,0,3817.78787841,0,4239.18181776,0,4447.81818137,0,4164.48484807,0,4614.72727227,0,4976.87878738,0,4063.51515111,0,4376.21212077,0,4235.06060564,0,4768.24242377,0,4410.21212077,0,42.0,42.0,?
2017-08-07 12:15:47.045338,4464.81818137,0,4187.15151473,0,3843.54545416,0,3816.75757538,0,4243.81818139,0,4448.8484844,0,4171.18181776,0,4615.7575753,0,4970.18181768,0,4060.93939353,0,4377.2424238,0,4229.90909049,0,4771.33333286,0,4412.27272683,0,42.0,42.0,?
