Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2017-08-07 12:06:34.360970,4532.30302985,0,4126.36363595,0,3875.99999961,0,3863.63636325,688.242424174,4257.7272723,0,4448.33333289,0,4172.21212079,0,4309.75757533,0,4719.30302983,0,4193.84848443,0,4415.36363592,0,4201.57575716,0,4823.8787874,0,4474.60606016,0,42.0,42.0,?
2017-08-07 12:06:34.364302,4536.42424197,0,4212.39393897,0,3888.87878749,0,3928.54545415,688.242424174,4266.99999957,0,4444.21212077,0,4156.24242383,0,4315.42424199,0,4564.24242379,0,4220.63636321,0,4397.84848441,0,4220.1212117,0,4793.48484801,0,4434.9393935,0,42.0,42.0,?
2017-08-07 12:06:34.367336,4534.87878743,0,4208.27272685,0,3887.84848446,0,3928.54545415,688.242424174,4264.93939351,0,4440.60606016,0,4164.48484807,0,4324.18181775,0,4574.54545409,0,4227.84848443,0,4401.45454501,0,4222.18181776,0,4800.1818177,0,4435.45454501,0,42.0,42.0,?
2017-08-07 12:06:34.370993,4532.30302985,0,4214.96969655,0,3890.93939355,0,3929.06060567,688.242424174,4265.96969654,0,4435.96969653,0,4159.33333292,0,4326.75757532,0,4576.60606015,0,4223.7272723,0,4397.84848441,0,4216.51515109,0,4801.72727225,0,4446.27272683,0,42.0,42.0,?
2017-08-07 12:06:34.382796,4535.90909046,0,4218.57575715,0,3891.96969658,0,3929.57575718,688.242424174,4265.45454503,0,4434.42424198,0,4144.39393898,0,4316.96969654,0,4571.96969651,0,4224.24242382,0,4399.90909047,0,4216.51515109,0,4801.21212073,0,4450.90909046,0,42.0,42.0,?
2017-08-07 12:06:34.387858,4545.18181773,0,4217.54545412,0,3892.4848481,0,3930.0909087,688.242424174,4265.45454503,0,4437.51515107,0,4143.87878746,0,4316.96969654,0,4579.18181772,0,4237.63636321,0,4412.78787835,0,4222.18181776,0,4806.8787874,0,4449.87878743,0,42.0,42.0,?
2017-08-07 12:06:34.399208,4545.69696924,3725.5757572,4220.63636321,0,3896.60606022,0,3931.12121173,688.242424174,4265.45454503,0,4438.5454541,0,4154.69696928,0,4324.69696926,0,4591.54545409,0,4237.63636321,0,4416.39393895,0,4221.15151473,0,4810.484848,0,4450.39393895,0,42.0,42.0,?
2017-08-07 12:06:34.403516,4537.454545,3725.5757572,4218.57575715,4162.42424201,3893.51515113,0,3930.60606021,688.242424174,4266.48484806,0,4437.51515107,0,4157.78787837,0,4324.18181775,0,4593.09090863,0,4224.75757534,0,4405.06060562,0,4213.93939352,0,4804.81818134,0,4449.87878743,0,42.0,42.0,?
2017-08-07 12:06:34.406776,4533.8484844,3725.5757572,4214.96969655,4162.42424201,3884.75757537,0,3926.99999961,688.242424174,4268.0303026,0,4441.12121168,0,4157.78787837,0,4320.57575714,0,4593.09090863,0,4226.30302988,0,4404.03030259,0,4213.424242,0,4802.24242376,0,4444.72727228,70.0606060536,42.0,42.0,?
2017-08-07 12:06:34.411198,4537.96969652,3725.5757572,4220.1212117,4162.42424201,3887.84848446,519.272727221,3925.96969658,688.242424174,4264.424242,0,4441.63636319,0,4155.2121208,0,4316.96969654,0,4603.39393893,0,4240.21212079,0,4415.36363592,0,4223.7272723,0,4808.42424194,0,4445.75757531,70.0606060536,42.0,42.0,?
2017-08-07 12:06:34.413963,4541.57575712,3725.5757572,4225.78787837,4162.42424201,3894.54545416,519.272727221,3928.54545415,696.484848415,4257.21212079,0,4436.99999956,0,4156.75757534,0,4319.0303026,0,4610.09090863,0,4240.21212079,0,4411.2424238,0,4227.33333291,0,4810.484848,0,4450.90909046,70.0606060536,42.0,42.0,?
2017-08-07 12:06:34.417564,4535.39393894,3725.5757572,4223.21212079,4162.42424201,3889.90909052,519.272727221,3930.0909087,696.484848415,4255.66666624,519.272727221,4439.57575713,0,4168.60606019,0,4325.21212078,0,4605.45454499,0,4221.15151473,0,4396.30302986,0,4213.93939352,0,4802.75757528,0,4441.12121168,70.0606060536,42.0,42.0,?
2017-08-07 12:06:34.422030,4528.69696924,3725.5757572,4220.63636321,4162.42424201,3879.60606022,519.272727221,3927.51515112,696.484848415,4257.21212079,519.272727221,4444.72727228,181.333333315,4168.60606019,0,4318.51515108,0,4602.87878742,0,4206.72727231,0,4393.72727229,0,4203.1212117,0,4797.60606013,0,4424.63636319,70.0606060536,42.0,42.0,?
2017-08-07 12:06:34.425042,4528.18181773,3725.5757572,4222.18181776,4162.42424201,3874.96969658,519.272727221,3919.7878784,696.484848415,4252.06060564,519.272727221,4434.9393935,181.333333315,4152.63636322,3383.51515118,4305.12121169,0,4606.48484802,0,4214.96969655,0,4400.42424198,0,4207.75757534,0,4800.69696922,0,4424.12121168,70.0606060536,42.0,42.0,?
2017-08-07 12:06:34.428052,4527.1515147,3725.5757572,4220.63636321,4162.42424201,3869.81818143,519.272727221,3914.63636324,696.484848415,4253.60606018,519.272727221,4426.18181774,181.333333315,4149.54545413,3383.51515118,4306.15151472,3049.69696939,4612.66666621,0,4223.7272723,0,4397.84848441,0,4209.8181814,0,4796.5757571,0,4426.18181774,70.0606060536,42.0,42.0,?
2017-08-07 12:06:34.431463,4522.51515106,3725.5757572,4220.1212117,4162.42424201,3866.72727234,519.272727221,3912.57575718,696.484848415,4260.81818139,519.272727221,4434.9393935,181.333333315,4159.33333292,3383.51515118,4316.45454502,3049.69696939,4618.33333287,3202.18181786,4215.99999958,0,4388.57575714,0,4203.1212117,0,4787.30302982,0,4420.51515107,70.0606060536,42.0,42.0,?
2017-08-07 12:06:34.434638,4526.12121167,3725.5757572,4225.78787837,4162.42424201,3874.45454507,519.272727221,3912.57575718,696.484848415,4257.21212079,519.272727221,4441.12121168,181.333333315,4161.39393898,3383.51515118,4320.06060563,3049.69696939,4623.48484802,3202.18181786,4212.90909049,482.181818134,4393.72727229,0,4207.24242382,0,4791.42424195,0,4424.12121168,70.0606060536,42.0,42.0,?
2017-08-07 12:06:34.439127,4539.51515106,3725.5757572,4235.06060564,4162.42424201,3883.72727234,519.272727221,3922.87878749,696.484848415,4256.18181776,519.272727221,4434.42424198,181.333333315,4154.69696928,3383.51515118,4317.99999957,3049.69696939,4632.75757529,3202.18181786,4227.33333291,482.181818134,4413.81818138,4154.18181777,4219.09090867,0,4806.36363588,0,4434.42424198,70.0606060536,42.0,42.0,?
2017-08-07 12:06:34.441987,4550.33333288,3725.5757572,4247.424242,4162.42424201,3889.393939,519.272727221,3928.54545415,696.484848415,4259.78787836,519.272727221,4425.15151471,181.333333315,4156.75757534,3383.51515118,4323.15151472,3049.69696939,4649.24242378,3202.18181786,4241.75757533,482.181818134,4425.15151471,4154.18181777,4229.39393897,24.7272727248,4818.21212073,0,4445.2424238,70.0606060536,42.0,42.0,?
2017-08-07 12:06:34.444989,4549.81818136,3725.5757572,4251.03030261,4162.42424201,3892.99999961,519.272727221,3920.81818143,696.484848415,4254.63636321,519.272727221,4424.12121168,181.333333315,4171.18181776,3383.51515118,4331.39393896,3049.69696939,4659.03030256,3202.18181786,4245.87878745,482.181818134,4418.96969653,4154.18181777,4234.03030261,24.7272727248,4820.27272679,3263.99999967,4448.8484844,70.0606060536,42.0,42.0,?
